key HBPattern1 HBPattern2 Weight
7 BETA.FB-11.SB-11.HD1.OD-5.HO6.OH-6.V2 BETA.FB-11.SB-11.HD2.OD-3.HO6.OH-6.V223 1
11 BETA.FB-11.SB-11.HD1.OD-5.HO6.OH-6.V2 BETA.FB-11.SB-11.HD2.OD2.HO6.OH-6.V1442 1
402 BETA.FB-11.SB-11.HD1.OD-5.HO6.OH-6.V2 BETA.FB11.SB-11.HD6.OD-6.HO-2.OH-4.V646 1
408 BETA.FB-11.SB-11.HD1.OD-5.HO6.OH-6.V2 BETA.FB11.SB-11.HD6.OD-6.HO-2.OH3.V352 1
422 BETA.FB-11.SB-11.HD1.OD-5.HO6.OH-6.V2 BETA.FB11.SB-11.HD6.OD-6.HO0.OH1.V314 1
424 BETA.FB-11.SB-11.HD1.OD-5.HO6.OH-6.V2 BETA.FB11.SB-11.HD6.OD-6.HO1.OH-5.V1 1
752 BETA.FB-11.SB-11.HD1.OD-1.HO6.OH-6.V5 BETA.FB-11.SB-11.HD1.OD0.HO6.OH-6.V161 1
758 BETA.FB-11.SB-11.HD1.OD-1.HO6.OH-6.V5 BETA.FB-11.SB-11.HD2.OD-2.HO6.OH-6.V3159 3
759 BETA.FB-11.SB-11.HD1.OD-1.HO6.OH-6.V5 BETA.FB-11.SB-11.HD2.OD-1.HO6.OH-6.V5 1
767 BETA.FB-11.SB-11.HD1.OD-1.HO6.OH-6.V5 BETA.FB-11.SB-11.HD3.OD-3.HO6.OH-6.V27 4
768 BETA.FB-11.SB-11.HD1.OD-1.HO6.OH-6.V5 BETA.FB-11.SB-11.HD3.OD-2.HO6.OH-6.V286 1
774 BETA.FB-11.SB-11.HD1.OD-1.HO6.OH-6.V5 BETA.FB-11.SB-11.HD4.OD-4.HO6.OH-6.V1151 2
775 BETA.FB-11.SB-11.HD1.OD-1.HO6.OH-6.V5 BETA.FB-11.SB-11.HD4.OD-3.HO6.OH-6.V8 1
783 BETA.FB-11.SB-11.HD1.OD-1.HO6.OH-6.V5 BETA.FB-11.SB-11.HD5.OD-5.HO6.OH-6.V38 2
784 BETA.FB-11.SB-11.HD1.OD-1.HO6.OH-6.V5 BETA.FB-11.SB-11.HD5.OD-4.HO6.OH-6.V204 1
992 BETA.FB-11.SB-11.HD1.OD-1.HO6.OH-6.V5 BETA.FB6.SB-11.HD1.OD-6.HO-5.OH-6.V4 1
993 BETA.FB-11.SB-11.HD1.OD-1.HO6.OH-6.V5 BETA.FB6.SB-11.HD2.OD-6.HO-4.OH-6.V1 1
1131 BETA.FB-11.SB-11.HD1.OD-1.HO6.OH-6.V5 BETA.FB11.SB-11.HD6.OD-6.HO-5.OH4.V196 1
1132 BETA.FB-11.SB-11.HD1.OD-1.HO6.OH-6.V5 BETA.FB11.SB-11.HD6.OD-6.HO-5.OH5.V46 1
1139 BETA.FB-11.SB-11.HD1.OD-1.HO6.OH-6.V5 BETA.FB11.SB-11.HD6.OD-6.HO-4.OH3.V8 1
1140 BETA.FB-11.SB-11.HD1.OD-1.HO6.OH-6.V5 BETA.FB11.SB-11.HD6.OD-6.HO-4.OH4.V993 1
1147 BETA.FB-11.SB-11.HD1.OD-1.HO6.OH-6.V5 BETA.FB11.SB-11.HD6.OD-6.HO-3.OH2.V316 1
1148 BETA.FB-11.SB-11.HD1.OD-1.HO6.OH-6.V5 BETA.FB11.SB-11.HD6.OD-6.HO-3.OH3.V40 3
1156 BETA.FB-11.SB-11.HD1.OD-1.HO6.OH-6.V5 BETA.FB11.SB-11.HD6.OD-6.HO-2.OH1.V6 1
1157 BETA.FB-11.SB-11.HD1.OD-1.HO6.OH-6.V5 BETA.FB11.SB-11.HD6.OD-6.HO-2.OH2.V2744 2
1164 BETA.FB-11.SB-11.HD1.OD-1.HO6.OH-6.V5 BETA.FB11.SB-11.HD6.OD-6.HO-1.OH0.V275 1
1165 BETA.FB-11.SB-11.HD1.OD-1.HO6.OH-6.V5 BETA.FB11.SB-11.HD6.OD-6.HO-1.OH1.V19 8
1171 BETA.FB-11.SB-11.HD1.OD-1.HO6.OH-6.V5 BETA.FB11.SB-11.HD6.OD-6.HO0.OH0.V6531 8
1507 BETA.FB-11.SB-11.HD1.OD0.HO6.OH-6.V161 BETA.FB-11.SB-11.HD2.OD-3.HO6.OH-6.V223 5
1508 BETA.FB-11.SB-11.HD1.OD0.HO6.OH-6.V161 BETA.FB-11.SB-11.HD2.OD-2.HO6.OH-6.V3159 114
1510 BETA.FB-11.SB-11.HD1.OD0.HO6.OH-6.V161 BETA.FB-11.SB-11.HD2.OD1.HO6.OH-6.V2 1
